Designator,Mid X,Mid Y,Rotation,Layer
C1,-49.3776,-24.865851,90.0,top
J1,17.9578,16.0528,-90.0,top
J2,17.9578,5.4356,-90.0,top
J3,17.9705,-5.1308,-90.0,top
J4,17.9451,-15.8496,-90.0,top
J5,-14.3764,-27.6352,0.0,top
J6,1.651,-27.6352,0.0,top
Q1,-13.9446,10.5664,0.0,top
Q2,1.6956,17.076,0.0,top
R1,-15.3162,-3.2004,90.0,top
R2,-11.4046,-3.2258,90.0,top
R3,-15.3416,-19.8628,90.0,top
R4,11.938,-14.4272,-90.0,top
RV1,4.5974,3.683,-90.0,top
RV2,-6.35,3.683,-90.0,top
SW1,12.2428,-5.2728,0.0,top
U1,-44.1452,17.0688,0.0,top
U2,-0.4064,-14.4018,0.0,top
U3,11.7398,10.6864,180.0,top
